AU;Quarrying of sand and clay;i14.2;A_SDCL;AU;Sand and clay;p14.2;C_SDCL;tonnes;60316393.18;FALSE
AU;Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.;i14.3;A_CHMF;AU;"Chemical and fertilizer minerals; salt and other mining and quarrying products n.e.c.";p14.3;C_CHMF;tonnes;21449040.07;FALSE
AU;Processing of meat cattle;i15.a;A_PCAT;AU;Products of meat cattle;p15.a;C_PCAT;tonnes;921910.75;FALSE
AU;Processing of meat pigs;i15.b;A_PPIG;AU;Products of meat pigs;p15.b;C_PPIG;tonnes;202234.328;FALSE
AU;Processing of meat poultry;i15.c;A_PPLT;AU;Products of meat poultry;p15.c;C_PPLT;tonnes;389862.71;FALSE
AU;Production of meat products nec;i15.d;A_POME;AU;Meat products nec;p15.d;C_POME;tonnes;366867.6096;FALSE
AU;Processing vegetable oils and fats;i15.e;A_VOIL;AU;products of Vegetable oils and fats;p15.e;C_VOIL;tonnes;1651150.706;FALSE
AU;Processing of dairy products;i15.f;A_DAIR;AU;Dairy products;p15.f;C_DAIR;tonnes;1037514;FALSE
AU;Processed rice;i15.g;A_RICE;AU;Processed rice;p15.g;C_RICE;tonnes;461092.9125;FALSE
AU;Sugar refining;i15.h;A_SUGR;AU;Sugar;p15.h;C_SUGR;tonnes;4271939.872;FALSE
AU;Processing of Food products nec;i15.i;A_OFOD;AU;Food products nec;p15.i;C_OFOD;tonnes;3635192.845;FALSE
AU;Manufacture of beverages;i15.j;A_BEVR;AU;Beverages;p15.j;C_BEVR;tonnes;284700;FALSE
AU;Manufacture of fish products;i15.k;A_FSHP;AU;Fish products;p15.k;C_FSHP;tonnes;1666.537213;FALSE
AU;Manufacture of tobacco products (16);i16;A_TOBC;AU;Tobacco products (16);p16;C_TOBC;tonnes;10970.24;FALSE
AU;Manufacture of textiles (17);i17;A_TEXT;AU;Textiles (17);p17;C_TEXT;tonnes;115932.4657;FALSE
AU;"Manufacture of wearing apparel; dressing and dyeing of fur (18)";i18;A_GARM;AU;"Wearing apparel; furs (18)";p18;C_GARM;tonnes;205498.5628;FALSE
AU;"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)";i19;A_LETH;AU;Leather and leather products (19);p19;C_LETH;tonnes;78669.62279;FALSE
AU;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)";i20;A_WOOD;AU;"Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)";p20;C_WOOD;tonnes;2597157;FALSE
AU;Re-processing of secondary wood material into new wood material;i20.w;A_WOOW;AU;"Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)";p20;C_WOOD;tonnes;1236794.228;FALSE
AU;Re-processing of secondary wood material into new wood material;i20.w;A_WOOW;AU;"Wood material for treatment; Re-processing of secondary wood material into new wood material";p20.w;C_WOOW;tonnes;1281900.113;FALSE
AU;Pulp;i21.1;A_PULP;AU;Pulp;p21.1;C_PULP;tonnes;3299175;FALSE
AU;Re-processing of secondary paper into new pulp;i21.w.1;A_PAPR;AU;Pulp;p21.1;C_PULP;tonnes;1705970.001;FALSE
AU;Re-processing of secondary paper into new pulp;i21.w.1;A_PAPR;AU;"Secondary paper for treatment; Re-processing of secondary paper into new pulp";p21.w.1;C_PAPR;tonnes;1960885.058;FALSE
AU;Paper;i21.2;A_PAPE;AU;Paper and paper products;p21.2;C_PAPE;tonnes;3778161.005;FALSE
AU;Publishing, printing and reproduction of recorded media (22);i22;A_MDIA;AU;Printed matter and recorded media (22);p22;C_MDIA;tonnes;234346.6639;FALSE
AU;Manufacture of coke oven products;i23.1;A_COKE;AU;Coke Oven Coke;p23.1.a;C_COKE;tonnes;3212006.355;FALSE
AU;Manufacture of coke oven products;i23.1;A_COKE;AU;Coal Tar;p23.1.c;C_COTA;tonnes;106625.3608;FALSE
